SAE.CCM_ENABLED,Comprehensive Component Monitoring Enabled (This Drive Cycle),0141,1,65,2,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.MISFIRE_COMPL,Misfire Monitoring Completed (This Drive Cycle),0141,1,65,3,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.FUEL_COMPL,Fuel System Monitoring Completed (This Drive Cycle),0141,1,65,4,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.CCM_COMPL,Comprehensive Component Monitoring Completed (This Drive Cycle),0141,1,65,5,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.CAT_ENABLED,Catalyst Monitoring Enabled (This Drive Cycle),0141,1,65,6,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.HCAT_ENABLED,Heated Catalyst Monitoring Enabled (This Drive Cycle),0141,1,65,7,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.EVAP_ENABLED,Evaporative System Monitoring Enabled (This Drive Cycle),0141,1,65,8,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.AIR_ENABLED,Secondary Air System Monitoring Enabled (This Drive Cycle),0141,1,65,9,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.AC_ENABLED,A/C System Refrigerant Monitoring Enabled (This Drive Cycle),0141,1,65,10,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.O2_ENABLED,Oxygen Sensor Monitoring Enabled (This Drive Cycle),0141,1,65,11,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.O2HTR_ENABLED,Oxygen Sensor Heater Monitoring Enabled (This Drive Cycle),0141,1,65,12,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.EGR_ENABLED,EGR System Monitoring Enabled (This Drive Cycle),0141,1,65,13,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.CAT_COMPL,Catalyst Monitoring Completed (This Drive Cycle),0141,1,65,14,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.HCAT_COMPL,Heated Catalyst Monitoring Completed (This Drive Cycle),0141,1,65,15,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.EVAP_COMPL,Evaporative System Monitoring Completed (This Drive Cycle),0141,1,65,16,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.AIR_COMPL,Secondary Air System Monitoring Completed (This Drive Cycle),0141,1,65,17,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.AC_COMPL,A/C System Refrigerant Monitoring Enabled (This Drive Cycle),0141,1,65,18,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.O2_COMPL,Oxygen Sensor Monitoring Completed (This Drive Cycle),0141,1,65,19,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.O2HTR_COMPL,Oxygen Sensor Heater Monitoring Completed (This Drive Cycle),0141,1,65,20,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.EGR_COMPL,EGR System Monitoring Completed (This Drive Cycle),0141,1,65,21,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.ECM_VOLTS,Control Module Voltage,0142,1,66,0,General,Generic,SAE,2,V,V,0,65.535,0,65.535,1,0,0,0
SAE.LOAD_ABS,Absolute Load,0143,1,67,0,General,Generic,SAE,1,%,%,0,25700,0,25700,1,0,0,0
SAE.LAMBDA,Commanded Equivalence Ratio,0144,1,68,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.TPS_RELATIVE,Relative Throttle Position,0145,1,69,0,General,Generic,SAE,1,%,%,0,100,0,100,1,0,0,0
SAE.AAT,Ambient Air Temperature,0146,1,70,0,Temperature,Generic,SAE,1,F,C,-40,419,-40,215,1,0,0,0
SAE.TPS_B,Absolute Throttle Position B,0147,1,71,0,General,Generic,SAE,1,%,%,0,100,0,100,1,0,0,0
SAE.TPS_C,Absolute Throttle Position C,0148,1,72,0,General,Generic,SAE,1,%,%,0,100,0,100,1,0,0,0
SAE.APP_D,Accelerator Pedal Position D,0149,1,73,0,General,Generic,SAE,1,%,%,0,100,0,100,1,0,0,0
SAE.APP_E,Accelerator Pedal Position E,014A,1,74,0,General,Generic,SAE,1,%,%,0,100,0,100,1,0,0,0
SAE.APP_F,Accelerator Pedal Position F,014B,1,75,0,General,Generic,SAE,1,%,%,0,100,0,100,1,0,0,0
SAE.CTA,Commanded Throttle Actuator,014C,1,76,0,General,Generic,SAE,1,%,%,0,100,0,100,1,0,0,0
SAE.MIL_TIME,Time Engine Has Run With MIL Activated,014D,1,77,0,General,Generic,SAE,3,min,min,0,65535,0,65535,1,0,0,0
SAE.CLEAR_TIME,Time Engine Has Run Since DTCs Cleared,014E,1,78,0,General,Generic,SAE,3,min,min,0,65535,0,65535,1,0,0,0
SAE.FUEL_TYPE,Fuel Type,0151,1,81,0,Fuel,Generic,SAE,3,,,,,,,0,0,1,0
SAE.ETHANOL_PCT,Ethanol Fuel Percentage,0152,1,82,0,Fuel,Generic,SAE,3,%,%,0,100,0,100,1,0,0,0
ELM.BATTERY_VOLTAGE,Battery Voltage,ATRV,0,0,0,General,Generic,ELM,3,V,V,0,100,0,100,1,0,0,0
